1,0,START,,20:20:00,,#ŽÀŒ±ŠJŽn
332,1,R3_CHECK3,ADD_STOP,20:42:30,,#
333,1,R3_CHECK3,REMOVE_STOP,20:45:30,,#
334,1,R3_CHECK3,ADD_STOP,20:46:30,,#
335,1,R3_CHECK3,REMOVE_STOP,20:49:30,,#
336,1,R3_CHECK3,ADD_STOP,20:50:30,,#
337,1,R3_CHECK3,REMOVE_STOP,20:53:30,,#
338,1,R3_CHECK3,ADD_STOP,20:54:30,,#
339,1,R3_CHECK3,REMOVE_STOP,20:57:30,,#
340,1,R3_CHECK3,ADD_STOP,20:58:30,,#
341,1,R3_CHECK3,REMOVE_STOP,21:01:30,,#
342,1,R3_CHECK3,ADD_STOP,21:02:30,,#
343,1,R3_CHECK3,REMOVE_STOP,21:05:30,,#
344,1,R3_CHECK3,ADD_STOP,21:06:30,,#
345,1,R3_CHECK3,REMOVE_STOP,21:09:30,,#
346,1,R3_CHECK3,ADD_STOP,21:10:30,,#
347,1,R3_CHECK3,REMOVE_STOP,21:13:30,,#
348,1,R3_CHECK3,ADD_STOP,21:14:30,,#
349,1,R3_CHECK3,REMOVE_STOP,21:17:30,,#
350,1,R3_CHECK3,ADD_STOP,21:18:30,,#
351,1,R3_CHECK3,REMOVE_STOP,21:21:30,,#
352,1,R3_CHECK3,ADD_STOP,21:22:30,,#
353,1,R3_CHECK3,REMOVE_STOP,21:25:30,,#
354,1,R3_CHECK3,ADD_STOP,21:26:30,,#
355,1,R3_CHECK3,REMOVE_STOP,21:29:30,,#
356,1,R3_CHECK3,ADD_STOP,21:30:30,,#
357,1,R3_CHECK3,REMOVE_STOP,21:33:30,,#
358,1,R3_CHECK3,ADD_STOP,21:34:30,,#
359,1,R3_CHECK3,REMOVE_STOP,21:37:30,,#
360,1,R3_CHECK3,ADD_STOP,21:38:30,,#
361,1,R3_CHECK3,REMOVE_STOP,21:41:30,,#
362,1,R3_CHECK3,ADD_STOP,21:42:30,,#
363,1,R3_CHECK3,REMOVE_STOP,21:45:30,,#
364,1,R3_CHECK3,REMOVE_STOP,21:46:30,,#
365,1,R3_CHECK3,ADD_STOP,21:49:30,,#
366,1,R3_CHECK3,REMOVE_STOP,21:50:30,,#
367,1,R3_CHECK3,ADD_STOP,21:53:30,,#
368,1,R3_CHECK3,REMOVE_STOP,21:54:30,,#
369,1,R3_CHECK3,ADD_STOP,21:57:30,,#
370,1,R3_CHECK3,REMOVE_STOP,21:58:30,,#
